6.1204,2.8730,5.1136,1.8061
7.8831,3.7070,6.5960,2.5410
5.9671,2.8421,5.1093,1.8667
6.7234,3.0299,5.7333,2.1402
6.5625,2.8589,5.4157,1.8117
6.4456,3.0594,5.5294,2.0240
6.2812,2.7463,5.4705,1.8687
6.3079,3.0026,5.2234,1.8805
6.7116,2.8403,5.5494,1.8549
6.7712,3.1355,5.7380,2.0759
5.5769,2.5861,4.7947,1.8218
6.2400,2.8939,5.1583,1.8709
6.5668,3.0544,5.6386,2.0993
6.5524,2.8997,5.5092,1.9849
7.4065,3.1841,6.2505,2.1224
6.8285,2.8829,5.6146,1.8658
6.3027,2.9473,5.2415,2.0212
6.7692,2.8338,5.5618,1.9187
6.7907,2.8677,5.6283,1.9589
7.5875,3.5427,6.3617,2.3600
5.7755,2.8456,4.9785,1.9833
6.2304,3.0095,5.1603,1.9926
6.6715,3.1425,5.4620,2.0096
6.6193,2.9318,5.5582,1.9668
6.2279,2.5889,5.4116,1.7718
5.4105,2.4574,4.6619,1.6253
6.6614,2.8130,5.6382,1.8791
5.7757,2.4218,4.9131,1.6306
6.0552,2.9560,5.1474,1.9193
6.8025,3.0016,5.6845,2.1695
6.1678,2.7030,5.3864,1.8830
6.0964,2.4881,5.1253,1.6646
7.0291,2.9518,5.8100,2.0516
5.3273,2.3024,4.6156,1.6406
6.8657,2.9939,5.7892,2.0182
7.4008,3.3110,6.1708,2.2889
6.0487,3.0447,5.1057,2.1818
6.4329,2.7763,5.3525,1.9270
6.5103,3.2085,5.3815,2.2496
6.0840,2.7100,5.1529,1.9830
6.7276,2.8627,5.7446,1.9309
5.5118,2.3908,4.7476,1.5962
7.5018,3.4747,6.3351,2.2981
6.7329,2.9040,5.6876,2.0798
5.3923,2.5855,4.5835,1.8071
5.5383,2.4752,4.7365,1.6316
7.2908,3.4100,6.1406,2.3870
7.6985,3.6042,6.4569,2.4988
6.9721,3.3466,5.8518,2.2371
6.2510,3.0294,5.4084,2.1991
7.2522,3.2680,6.0168,2.1670
6.4707,3.0929,5.4926,2.1024
6.3690,2.6862,5.2580,1.7844
6.8562,2.9237,5.7080,1.9764
6.4019,3.0689,5.5239,2.0711
7.5043,3.3253,6.2847,2.3609
5.6764,2.7388,4.7945,1.7726
6.6877,3.0099,5.6853,2.2012
6.0050,2.9259,5.1552,1.9397
7.3859,3.1179,6.2270,2.1610
7.4106,3.3653,6.1146,2.3105
6.9191,3.2139,5.9008,2.2654
7.8977,3.4633,6.6014,2.2801
4.8977,2.1070,4.2014,1.4410
5.8431,2.9693,4.9255,2.0321
6.3760,2.8726,5.5175,2.0988
5.6607,2.5532,4.8758,1.7553
6.9231,3.0620,5.7045,2.1956
7.2263,2.9375,6.0221,1.9369
7.7753,3.5105,6.5278,2.3096
6.0404,2.6878,5.1913,1.8921
7.2634,3.0305,6.0546,2.0591
7.3005,3.0120,6.1358,2.1510
7.1899,3.1120,6.1090,2.0704
6.7826,3.1137,5.7417,2.2276
5.9701,2.8788,5.0712,1.9965
7.0940,3.2528,6.0059,2.2014
5.5515,2.4572,4.7781,1.7097
7.7083,3.4948,6.4646,2.2459
6.0655,2.7915,5.0865,2.0220
6.4473,2.9087,5.3718,2.0455
7.1280,3.1946,5.8688,2.1593
7.0481,3.1783,5.7919,2.1697
7.7088,3.4152,6.4074,2.3081
5.8167,2.8093,4.8891,1.9652
7.1609,3.3991,6.0490,2.3402
7.6499,3.4636,6.3372,2.2373
5.7375,2.5457,4.8723,1.7479
5.8842,2.9964,5.0076,2.0545
7.1215,3.0373,5.9058,2.0582
6.4437,2.9649,5.4155,2.0769
7.2933,2.9706,6.1608,2.0133
7.8563,3.6445,6.5859,2.4303
6.3845,2.8777,5.3740,1.8525
6.2723,2.7583,5.3494,2.0297
5.7788,2.7380,4.9561,1.8697
7.3370,3.2813,6.1025,2.1994
6.6275,2.7351,5.6907,1.8215
6.0606,2.8739,5.1500,2.0750
6.3329,3.0359,5.3025,2.0127
